index,name,type,category,Courriel,Type.1,Région,Periodicité,Province,Ville,Catégorie,Groupe de presse,Télécopieur,Site web,Code postal,Spécialisations,Téléphone,Adresse
758,Le Goéland,Périodique,Indépendant,journalgoeland@globetrotter.net,Périodique,Bas-St-Laurent,7 fois l'an,QC,Saint-Siméon,Média communautaire,Indépendant,,,G0C 3A0,Communautaire,,"127, boul. Perron O., C.P. 250 "
759,Le Graffiti,Pér,Indépendant,legraffiti@brebeuf.qc.ca,Pér,Montréal,Mensuel,QC,Montréal,Média étudiant,Indépendant,514 342-0693,journalgraffiti.wordpress.com,H3T 1W4,,514 342-9342,"5625, Decelles "
760,Le Groupe Sagittaire,Télévision,Indépendant,sagittaire@sympatico.ca,Télévision,Montréal,,QC,Montréal,,Indépendant,(514) 939-7738,,H4C 2C7,Documentaires,(514) 939-5755,"4020, Saint-Ambroise, #200 "
761,Le Guide,Hebdo régional,TC Media,leguide@tc.tc,Hebdo régional,Montérégie,Hebdomadaire,QC,Cowansville,,TC Media,450 263-9435,www.journal-leguide.com,J2K 1J3,Affaires régionales,450 263-5288,"121, rue Principale, #3 "
762,Le Guide de l'auto (Magazine),Magazine,Ind./Petit groupe,service@lcmedia.ca,Magazine,Montérégie,6 fois l'an,QC,Mont-Saint-Hilaire,,Ind./Petit groupe,450 464-8271,guideautoweb.com,J3G 4S5,Automobile - Transport,450 464-1479,"414, boul. sir wilfrid laurier, #260 "
763,Le Guide Mont-Royal,Hebdo régional,TC Media,,Hebdo régional,Montréal,Hebdomadaire,QC,LaSalle,,TC Media,(514) 363-3895,,H8R 2E7,,(514) 363-3750,"9216, Boivin "
764,Le Haut Saint-François,Hebdo régional,Indépendant,info@journalhsf.com,Hebdo régional,Estrie,Bimensuel,QC,Cookshire-Eaton,,Indépendant,819 875-5327,http://www.estrieplus.com/accueil-journal_le_haut_saint_francois-93.htmlz,J0B 1M0,Affaires régionales,819 875-5501,"57, rue Craig Nord, #101 "
765,Le Havre,Hebdo régional,TC Media,can.redaction@tc.tc,Hebdo régional,Gaspésie-IdM,Hebdomadaire,QC,Gaspé,,TC Media,418 368-1705,journallehavre.ca,G4X 1P1,Affaires régionales,418 689-6686,"47, rue Baker, #7 "
766,Le Hublot,Magazine,Indépendant,clochers@globetrotter.net,Magazine,Chaudière-Appalaches,Mensuel,QC,L'Islet,Média communautaire,Indépendant,418 247-3336,http://www.lehublot.ca,G0R 2B0,Communautaire,418 247-3333,"16, chemin des pionniers E., #202 "
767,Le Jamésien,Hebdo régional,TC Media,karine.desbiens@tc.tc,Hebdo régional,Québec,Mensuel,QC,Chibougamau,,TC Media,418 748-2421,www.lasentinelle.ca,G8P 1N4,Affaires régionales,418 748-6406,"317, 3e Rue, C. P. 250 "
768,Le Jaseur,Périodique,Indépendant,,Périodique,Chaudière-Appalaches,6 fois l'an,QC,Saint-Lazare-de-Bellechasse,Média communautaire,Indépendant,418 883-2551,,G0R 3J0,Affaires régionales,418 883-3841,"116, de la Fabrique "
769,Le Journal d'Ahuntsic,Hebdo régional,TC Media,,Hebdo régional,Montréal,Hebdomadaire,QC,Laval,,TC Media,(450) 681-2884,,H7P 5P2,,(450) 681-4948,"3221, Autoroute 440 O., #209 "
770,Le Journal d'Outremont,Hebdo régional,Indépendant,,Hebdo régional,Montréal,Mensuel,QC,Outremont,,Indépendant,,,H2V 3B5,,(514) 276-6671,"812, Davaar "
771,Le Journal de Chambly,Hebdo régional,Les Versants du Mont-Bruno,cly.redaction@tc.tc,Hebdo régional,Montérégie,Hebdomadaire,QC,Chambly,,Les Versants du Mont-Bruno,450 658-3785,www.journaldechambly.com,J3L 1Y8,Affaires régionales,450 658-6516,"1685, Bourgogne "
772,Le Journal de Charlevoix,Hebdo régional,,,Hebdo régional,,,QC,La Malbaie,,,,,G5A 1T1,,,"277, Saint-Étienne "
773,Le Journal de Joliette,Hebdo régional,Quebecor,jol.redaction@quebecormedia.com,Hebdo régional,Lanaudière,Hebdomadaire,QC,Joliette,,Quebecor,450 960-2626,www.lejournaldejoliette.ca,J6E 6X6,,450 960-2424,"1075, boul. Firestone, 5e étage "
774,Le Journal de l'Assurance,Magazine,Indépendant,reception@journal-assurance.ca,Magazine,Montréal,10 fois l'an,QC,Montréal,,Indépendant,514 289-9527,www.journal-assurance.ca,H2Y 2E1,Affaires - Assurances,514 289-9595,"321, de la Commune O., #100 "
775,Le Journal de l'Habitation,Pér,TC Media,redaction_quebec@tc.tc,Pér,Québec,Bimensuel,QC,Québec,,TC Media,418 686-1086,www.journalhabitation.com,G2C 2B4,Construction - Habitation - Rénovation,418 628-7460 ,"5000, Hugues-Randin "
776,Le Journal de Longueuil Extra,Hebdo régional,Quebecor,,Hebdo régional,Montérégie,Hebdomadaire,QC,Longueuil,,Quebecor,450 674-0205,http://lejournaldelongueuilextra.canoe.ca,J4H 1E3,,450 646-3333,"267, Saint-Charles O. "
777,Le Journal de Marieville,Périodique,,,Périodique,Montérégie,Mensuel,QC,Saint-Jean-sur-Richelieu,,,(450) 358-9946,,J3B 6X3,,(450) 358-1647,"84, Richelieu "
778,Le Journal de Mont-Royal,Hebdo régional,Indépendant,redaction@proxima-p.qc.ca,Hebdo régional,Montréal,Hebdomadaire,QC,Ville Mont-Royal,,Indépendant,514 736-7855,www.proxima-p.qc.ca,H4P 2K3,Affaires régionales,514 736-1133,"8180, ch. Devonshire, #206 "
779,Le Journal de Montréal,Quotidien,Quebecor,jdm.transmission@quebecormedia.com,Quotidien,Montréal,,QC,Montréal,,Quebecor,514 521-4416,www.lejournaldemontreal.com,H2H 2R7,,514 521-4545,"4545, rue Frontenac "
780,Le Journal de Montréal.,Quotidien,Quebecor,jdm.transmission@quebecormedia.com,Quotidien,Ontario,,ON,Ottawa,,Quebecor,,www.lejournaldemontreal.com,K1P 6E5,,,"207, rue Queen, #300 "
781,Le Journal de Pontiac,Hebdo régional,Indépendant,info@journalpontiac.com,Hebdo régional,Outaouais,Bimensuel,QC,Mansfield,,Indépendant,819 683-2977,www.pontiacjournal.com,J0X 1R0,Affaires régionales,819 683-3582,"289, rue Principale, #5 "
782,Le Journal de Prescott-Russell/The Prescott-Russell News,Hebdo régional,Indépendant,journal@stlawrenceprinting.on.ca,Hebdo régional,Canada anglais,Hebdomadaire,ON,Prescott,,Indépendant,613 925-3472,www.prescottjournal.com,K0E 1T0,,613 925-4265,P. O. Box 549 
783,Le Journal de Québec,Quotidien,Quebecor,textes@journaldequebec.com,Quotidien,Québec,,QC,Québec,,Quebecor,418 688-8181,www.journaldequebec.com,G1M 2E9,,418 683-1573,"450, Béchard "
784,Le Journal de Saint-Basile,Pér,Indépendant,redaction@versants.com,Pér,Montérégie,Mensuel,QC,Saint-Bruno,,Indépendant,450 441-5440,http://www.versants.com/Journal-de-Saint-Basile-20360,J3V 3T5,,450 441-5300,"1488, Montarville "
785,Le Journal de Saint-Bruno,Hebdo régional,TC Media,,Hebdo régional,Montérégie,Hebdomadaire,QC,St-Bruno-de-Montarville,,TC Media,450 653-6967,www.versants.com,J3V 3P8,Affaires régionales,450 653-3685,"1507, Roberval "
786,Le Journal de Saint-Hubert,Hebdo régional,TC Media,cds.redaction@quebecormedia.com,Hebdo régional,Montérégie,Hebdomadaire,QC,Longueuil,,TC Media,450 674-0205,www.lejournaldesthubert.canoe.ca,J4H 1E3,Affaires régionales,450 674-6217,"267, rue Saint-Charles O. "
787,Le Journal de Saint-Lambert ,Hebdo régional,Indépendant,journal.saintlambert@videotron.ca,Hebdo régional,Montérégie,Hebdomadaire,QC,Longueuil,,Indépendant,450 674-0205 ,,J4H 1E3,Affaires régionales,450 646-3333 ,"267, rue Saint-Charles Ouest  "
788,Le Journal de Trois-Rivières,Hebdo régional,Quebecor,,Hebdo régional,Mauricie,Hebdomadaire,,Trois-Rivières,,Quebecor,,,G8Y 5M6,,(819) 601-7575,"3675, Chanoine-Moreau, # 109 "
789,Le Journal de Ville Saint-Laurent,Hebdo régional,Indépendant,,Hebdo régional,Montréal,Hebdomadaire,QC,Saint-Laurent,,Indépendant,(514) 744-4377,,H4L 1M3,,(514) 744-4773,"823, Décarie "
790,Le Journal des Berges,Périodique,Indépendant,desberges@personainternet.com,Périodique,Lanaudière,16 fois l'an,QC,Lanoraie,,Indépendant,450 887-7407,,J0K 1E0,Affaires régionales - Environnement,450 887-7407,"416, Grande Côte O. Route 138"
791,Le Journal des Pays d'En Haut,Hebdo régional,Quebecor,redaction.lavallee@hebdosquebecor.com,Hebdo régional,Laurentides,Hebdomadaire,QC,Saint-Sauveur,,Quebecor,450 229-6063,www.paysdenhaut.canoe.ca,J0R 1R6,Affaires régionales,450 229-6664,"94, rue de la Gare, #104 "
792,Le Journal des Pays-d'en-Haut / La Vallée,Hebdo régional,TC Media,ssm.redaction@tc.tc,Hebdo régional,Laurentides,Hebdomadaire,QC,Saint-Sauveur-des-Monts,,TC Media,450 227-8144,www.lejournaldespaysdenhautlavallee.ca,J0R 1R6,Affaires régionales,450 227-4646,"94, de la Gare, #104 "
793,Le Journal des Rivières,Hebdo régional,TC Media,,Hebdo régional,Montérégie,Hebdomadaire,QC,Bedford,,TC Media,(450) 248-7540,,J0J 1A0,Affaires régionales,(450) 248-3303,"55, du Pont "
794,Le Jumelé,Périodique,,tcri5@cam.org,Périodique,Montréal,4 fois l'an,QC,Montréal,Média communautaire,,514 272-3748,www.tcri.qc.ca,H2S 1S5,,"514 272-6060, #209","518, Beaubien E. "
795,Le Kamouraska,Hebdo régional,Independant,,Hebdo régional,,Hebdomadaire,QC,La Pocatière,,Independant,(418) 856-5730,,G0R 1Z0,,(418) 856-4531,"1000, 6e Avenue, C.P. 1418 "
796,Le Lac Saint-Jean,Hebdo régional,TC Media,redaction_alma@tc.tc,Hebdo régional,Saguenay-Lac-St-Jean,Hebdomadaire,QC,Alma,,TC Media,418 668-8522,www.lelacsaintjean.com,G8B 7A6,Affaires régionales,418 668-4545,"100, Saint-Joseph S. Complexe Jacques-Gagnon, #01"
797,Le Lambertain,Périodique,,,Périodique,Chaudière-Appalaches,Mensuel,QC,Sainte-Marie,,,(418) 387-5223,www.dynamiques.com,G6E 1B6,Affaires régionales,(418) 387-6969,"450, 2e Avenue Parc Industriel"
798,Le Lavalois,Magazine,Indépendant,lelavalois@accapcable.com,Magazine,Québec,10 fois l'an,QC,Sainte-Brigitte-de-Laval,Média communautaire,Indépendant,418-907-7172,www.lelavalois.com,G0A 3K0,Communautaire,418-907-7172,"22, du Couvent C.P. 1020"
799,Le Lien,,Indépendant,,,Chaudière-Appalaches,Mensuel,QC,Saint-Philémon,Média communautaire,Indépendant,418 469-2666,,G0R 4A0,,418 469-3053,"820, Therrien "
800,Le Lien,Périodique,,sergeleclerc@sympatico.ca,Périodique,Montérégie,Bimensuel,QC,Saint-Jean-sur-Richelieu,,,(450) 358-9946,,J3B 6X3,Affaires régionales,(450) 358-1647,"84, Richelieu "
801,Le Lien La Doré inc.,Magazine,Indépendant,cp44@videotron.ca,Magazine,Saguenay-Lac-St-Jean,Bimensuel,QC,La Doré,Média communautaire,Indépendant,418 256-3586,,G8J 1Y4,,418 256-3586,"5112, des Peupliers, C.P. 4 "
802,Le lieu de Montréal,Pér,Indépendant,lccom@total.net,Pér,Montréal,Hebdomadaire,QC,Montréal,Média ethnique,Indépendant,,www.russianmontreal.ca,H3X 1V5,Communauté russe,,"5465, ch. Queen-Mary, #310 "
803,Le Lundi,Magazine,Quebecor,lelundi@tvapublications.com,Magazine,Montréal,Hebdomadaire,QC,Longueuil,,Quebecor,514 848-7070,,J4K 5G7,Nouvelles artistiques,514 848-7000,1010 Sérigny Street 
804,Le Médecin du Québec,Magazine,Indépendant,medque@fmoq.org,Magazine,Montréal,Mensuel,QC,Montréal,,Indépendant,(514) 878-4455,www.fmoq.org,H3G 1R8,Médecine - Santé,(514) 878-1911,"1440, Sainte-Catherine O., #1000 "
805,Le Mémo,Magazine,Independant,,Magazine,Montréal,6 fois l'an,QC,Montréal,,Independant,(514) 341-2644,,H3T 1M3,,(514) 341-7916,"3715, av. Lacombe, #200 "
806,Le Magazine de l'auto ancienne,Magazine,Indépendant,info@vaq.qc.ca,Magazine,Montérégie,Mensuel,QC,Beloeil,,Indépendant,,http://www.vaq.qc.ca/,J3G 4G7,,514 990-9111,"270, boul. Sir Wilfrid Laurier, # 200 "
807,"Le Magazine de Saint-Lambert, Greenfield Park et Lemoyne",Hebdo régional,Quebecor,info@magaziners.qc.ca,Hebdo régional,Montérégie,Hebdomadaire,QC,Longueuil,,Quebecor,450 466-9019,www.lesaintlambertmag.canoe.ca,J4H 1E3,,450 672-1112,"267, rue Saint-Charles O. "
808,Le Magazine Prestige,Magazine,Indépendant,redaction@magazineprestige.com,Magazine,Québec,Mensuel,QC,Québec,,Indépendant,418 683-2899,www.magazineprestige.com,G1S 1S1,,418 683-5333,"305, boul. René-Lévesque O. "
809,Le Marigot,Hebdo régional,Indépendant,,Hebdo régional,Montréal,Bimensuel,QC,Laval-des-Rapides,,Indépendant,(450) 667-6774,,H7N 3V8,Affaires régionales - Communautaire,(450) 667-4360,"189, av. Laval "
810,Le Marketing QC,Pér,Rogers,adm@ampq.com,Pér,Montréal,Bimensuel,QC,Montréal,,Rogers,514 843-2183,www.marketingqc.ca,H3B 4G7,Communications - Publicité,514 845-5141,"1200, av. McGill College, #800 "
811,Le Matinal Virtuel,Internet,,,Internet,,,,,,,,www.matinal.qc.ca,,,,
812,Le Matinternet,Internet,,,Internet,,,,,,,,http://matin.qc.ca/indexcyr.htm,,,,
813,Le Messager de Lachine,Hebdo régional,TC Media,redaction_ouest@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Dorval,,TC Media,514 636-7317,journalmetro.com/local/lachine-dorval,H9S 1B3,Affaires régionales,514 636-7314,"455, Fénelon, #303 "
814,Le Messager de Verdun,Hebdo régional,TC Media,redaction_ouest@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Dorval,,TC Media,514 363-7317,journalmetro.com/local/verdun,H9S 13B,Affaires régionales,514 636-7314,"455, rue Fénélon, #303 "
815,Le Messager du Fort,Hebdo régional,Quebecor,edimont@videotron.ca,Hebdo régional,Montérégie,Hebdomadaire,QC,Sainte-Julie,,Quebecor,(450) 922-3172,,J3E 1Z7,Affaires régionales,(450) 649-0632,"1999, place Nobel, #15 "
816,Le Messager LaSalle,Hebdo régional,TC Media,redaction_ouest@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Dorval,,TC Media,514 636-7317,journalmetro.com/local/lasalle,H9S 1B3,Affaires régionales,514 636-7314,"455, Fénelon #303 "
817,Le Mirabel,Hebdo régional,Quebecor,redaction.mirabel@hebdosquebecor.com,Hebdo régional,Laurentides,Hebdomadaire,QC,Saint-Jérôme,,Quebecor,450 436-8912,www.lemirabel.canoe.ca,J7Z 4Z8,Arts et culture,450 436-8200,"179, Saint-Georges "
818,Le Monde,Périodique,Indépendant,redaction@journallemonde.qc.ca,Périodique,Montréal,Mensuel,QC,Montréal,Média communautaire,Indépendant,514 722-3667,www.journallemonde.qc.ca,H2A 3L9,Communautaire,514 722-7708,"C. P. 201, Succursale Saint-Michel "
819,Le Monde forestier,Pér,Indépendant,direction@lemondeforestier.ca,Pér,Québec,10 fois l'an,QC,Québec,,Indépendant,418 877-6449,www.lemondeforestier.ca,G1V 4P1,Foresterie,418 877-4583,"1175, Lavigerie, #203 "
820,Le Montagnard,Magazine,Indépendant,sainttitedescaps@videotron.ca,Magazine,Québec,10 fois l'an,QC,Saint-Tite-des-Caps,Média communautaire,Indépendant,,,G0A 4J0,Communautaire,418 823-2239,"5, Leclerc "
821,Le Montagnard,Périodique,Indépendant,sylvieverrault@sainttitedescaps.com,Périodique,Montérégie,Hebdomadaire,QC,Sainte-Julie,,Indépendant,450 922-3172,,J3E 1Z7,Affaires régionales,450 649-0632,"1999, place Nobel, #15 "
822,Le Montréal économique,Périodique,Indépendant,montrealinfo@inbusinessmedia.com,Périodique,Montréal,Mensuel,QC,Montréal,,Indépendant,(514) 276-4440,www.inbusinessmedia.com,H3R 2G8,Affaires,(514) 276-4500,"3850, Jean-Talon O., #138 "
823,Le MotDit,,Indépendant,journal.etudiant.le.motdit@gmail.com,,Montérégie,,QC,Longueuil,Média étudiant,Indépendant,,,J4H 3M6,,"450 679-2631, #2286",945 Chemin de Chambly 
824,Le Mouton noir,Pér,Indépendant,mouton@moutonnoir.com,Pér,Bas-St-Laurent,8 fois l'an,QC,Rimouski,,Indépendant,418 723-6625,www.moutonnoir.com,G5L 9C5,Actualités - Opinions,418 724-6647,"4, Évêché Est,  C.P. 113"
825,Le Nitrate,Périodique,Independant,,Périodique,Montréal,Mensuel,QC,Montréal,,Independant,(514) 843-5331,,H2W 1V5,,(514) 849-0570,"4300, Saint-Urbain, #5 "
826,Le Nord Info,Hebdo régional,Groupe JCL,redactionnordinfo@groupejcl.com,Hebdo régional,Laurentides,Hebdomadaire,QC,Sainte-Thérèse,,Groupe JCL,450 435-0588,www.linfonet.com,J7E 3H4,Affaires régionales,450 435-6537,"50-B, Turgeon "
827,Le Nord-Est ,Hebdo régional,TC Media,sis.redaction@tc.tc,Hebdo régional,Côte-Nord,Hebdomadaire,QC,Sept-Iles,,TC Media,418 962-0439,www.nordest.ca,G4R 1Y2,Affaires régionales,418 962-9441,"781, boul. Laure  "
828,Le Nouveau Défi,Hebdo régional,Indépendant,,Hebdo régional,Laurentides,Hebdomadaire,QC,Lachenaie,,Indépendant,(450) 964-4412,,J6W 5H9,,(450) 964-4411,"1025, Montée Masson, #201 "
829,Le Nouveau Martinet,Hebdo régional,Indépendant,borgia@cite.net,Hebdo régional,Québec,Hebdomadaire,QC,Saint-Raymond,Média communautaire,Indépendant,418 337-7748,www.infoportneuf.com,G3L 1K9,Affaires régionales,418 337-6871,"550, Saint-Joseph "
830,Le Nouvelliste,Quotidien,Capitales Médias,information@lenouvelliste.qc.ca,Quotidien,Mauricie,6 jours par semaine,QC,Trois-Rivières,,Capitales Médias,819 376-0946,http://www.lapresse.ca/le-nouvelliste/,G9A 3Y2,,819 376-2501 ,"1920, Bellefeuille "
831,Le P'tit journal,Magazine,,,Magazine,Abitibi-Témiscamingue,4 fois l'an,QC,Ville-Marie,Média communautaire,,,,J9V 1Y6,Communautaire,819 622-1238,"48A, Richard,  C.P. 1371"
832,Le P'tit Journal de Malartic,Magazine,Indépendant,le-ptit-journal@hotmail.com,Magazine,Abitibi-Témiscamingue,Hebdomadaire,QC,Malartic,Média communautaire,Indépendant,819 757-2930,www.journalmalartic.com,J0Y 1Z0,,819 757-2929,"500, 4e avenue, #207 "
833,Le P'tit Journal de Woburn,Magazine,Indépendant,woburnet@axion.ca,Magazine,Estrie,8 fois l'an,QC,Woburn,Média communautaire,Indépendant,,,G0Y 1R0,,819 544-2019,"300, rue Jolie "
834,Le Papotin,Périodique,Indépendant,papotin@hotmail.com,Périodique,Estrie,6 fois l'an,QC,St-Adolphe-de-Dudswell,Média communautaire,Indépendant,aucun,,J0B 2L0,Affaires régionales,(819) 887-6373,"651, ch. de la Cèdrière "
835,Le Parentois,Magazine,Indépendant,journalparent@tlb.sympatico.ca,Magazine,Estrie,10 fois l'an,QC,Parent,Média communautaire,Indépendant,819 667-2321,,G0X 3P0,,819 667-2553,"2, de l'Hôtel de Ville C. P. 246"
836,Le Peuple Côte-Sud,Hebdo régional,Quebecor,peuple.cote.sud@hebdosquebecor.com,Hebdo régional,Chaudière-Appalaches,Hebdomadaire,QC,Montmagny,,Quebecor,418 248-2377,www.peuplecotesud.com,G5V 1B8,Affaires régionales,418 248-0415,"80, boul. Tasché E., #200 "
837,Le Peuple de Lotbinière,Hebdo régional,Indépendant,,Hebdo régional,Chaudière-Appalaches,Hebdomadaire,QC,Québec,,Indépendant,418 728-4819,www.peuplelobtiniere.ca,G2C 2B4,Affaires régionales,418 728-2131,"5000, Hugues-Randin "
838,Le Phare,Magazine,Indépendant,lephare@gmail.com,Magazine,Québec,8 fois l'an,QC,Saint-Jean-de-l'ÃŽle-d'Orléans,Média communautaire,Indépendant,,http://lephare.saintjeaniledorleans.ca,G0A 3W0,Communautaire,418 829-0886,"577, ch. Royal "
839,Le Phare-l'Autre vision,Pér,Indépendant,redaction@journallephare.org,Pér,Gaspésie-IdM,10 fois l'an,QC,Grande-Vallée,Média communautaire,Indépendant,,www.journallephare.org,G0E 1K0,Arts et culture,418 393-2205,"1A, rue du Vieux-Pont E. "
840,Le Pharillon,Hebdo régional,TC Media,gas.redaction@tc.tc,Hebdo régional,Gaspésie-IdM,Hebdomadaire,QC,Gaspé,,TC Media,418 368-1705,www.lepharillon.ca,G4X 1P1,Affaires régionales,418 368-3242,"47, rue Baker, #7 "
841,Le Pierr'Eau,Magazine,Independant,st-pierre.rivsud@globetrotter.net,Magazine,Chaudière-Appalaches,Mensuel,QC,St-Pierre-de-la-Rivière-du-Sud,Média communautaire,Independant,418 248-7068,,G0R 4B0,,418 248-4734,"645, 2ème avenue "
842,Le Pierre-Brillant,Magazine,Independant,,Magazine,Bas-St-Laurent,6 fois l'an,QC,Val-Brillant,Média communautaire,Independant,,,G0J 3L0,Communautaire,418 742-3854,C.P. 279 
843,Le Pigeon Dissident,Maison d'enseignement,Indépendant,info@pigeondissident.com,Maison d'enseignement,Montréal,,QC,Montréal,Média étudiant,Indépendant,514 343-5929,www.pigeondissident.com,H3T 1N8,Droit - Journalisme judiciaire,514 343-6111 #5021,"3200, Jean-Brillant, #A-2412 "
844,Le Placoteux,Hebdo régional,Indépendant,journaliste@leplacoteux.com,Hebdo régional,Bas-St-Laurent,Hebdomadaire,QC,Saint-Pascal,,Indépendant,418 492-9706,www.leplacoteux.com,G0L 3Y0,Affaires régionales,418 492-2706,"491, av. D’Anjou Ouest "
845,Le Plaisirs de la vie,Magazine,,,Magazine,Montréal,,QC,Montréal-Nord,,,(514) 322-6191,,H1H 1E7,,(514) 322-4642,"4692, boul. Gouin "
846,Le Plateau,Hebdo régional,TC Media,redaction_est@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Montréal,,TC Media,514 899-5887,journalmetro.com/local/le-plateau-mont-royal,H1E 2S7,Affaires régionales,514 643-2300,"8000, Blaise-Pascal "
847,Le Plein jour de Baie-Comeau,Hebdo régional,TC Media,bco.redaction@tc.tc,Hebdo régional,Côte-Nord,Hebdomadaire,QC,Baie-Comeau,,TC Media,418 589-8216,www.pleinjourdebaiecomeau.ca,G5C 1C5,Affaires régionales,418 589-5900,"625, boul. Laflèche, #309 "
848,Le Plus,Hebdo régional,TC Media,crepeaug@transcontinental.ca,Hebdo régional,Laurentides,Hebdomadaire,QC,Lachenaie,,TC Media,(450) 964-3154,,J6W 4M4,Affaires régionales,(450) 964-4400,"1300, Grande-Allée, #210 "
849,Le Point,Hebdo régional,Quebecor,atelierlepoint@hebdosquebecor.com,Hebdo régional,Saguenay-Lac-St-Jean,Hebdomadaire,QC,Saint-Félicien,,Quebecor,418 276-5354,www.lepoint.canoe.ca,G8K 2R2,Affaires régionales,418 276-5110,"1258, boul. Sacré-Coeur "
850,Le Point d'impact,Hebdo régional,Indépendant,journallepoint@qc.aira.com,Hebdo régional,Laurentides,Hebdomadaire,QC,Sainte-Anne-des-Plaines,,Indépendant,450 478-3538,www.journallepoint.com,J0N 1H0,Affaires régionales,450 478-3538,"194-B, boul. Sainte-Anne "
851,Le Point d’Outremont,Hebdo régional,Indépendant,redaction@proxima-p.qc.ca,Hebdo régional,Montréal,Bimensuel,QC,Ville Mont-Royal,,Indépendant,514 736-7855,www.proxima-p.qc.ca,H4P 2K3,Affaires régionales,"514 736-1133, #201","8180, ch. Devonshire, #206 "
852,Le Pont,Hebdo régional,Independant,,Hebdo régional,,Mensuel,QC,Rochebeaucourt,Média communautaire,Independant,(819),,J0Y 2J0,,(819) 759-5213,"330, rang 9 "
853,Le Port-Cartois,Hebdo régional,TC Media,sis.redaction@tc.tc,Hebdo régional,Côte-Nord,Hebdomadaire,QC,Sept-îles,,TC Media,,www.leportcartois.ca,G4R 1Y2,Affaires régionales,418 962-9491,"781, boul Laure "
854,Le Portageur,Hebdo régional,Indépendant,secom@globetrotter.net,Hebdo régional,Côte-Nord,Hebdomadaire,QC,Natashquan,,Indépendant,418 726-3736,www.leportageur.jimdo.com/,G0G 2E0,Affaires régionales,418 726-3736,"50, Chemin d'en haut "
855,Le Productions S.D.A.,Télévision,Indépendant,,Télévision,Montréal,,QC,Montréal,,Indépendant,(514) 985-4459,,H2Y 4A6,,(514) 844-1761,"465, McGill, #900 "
856,Le Progrès de Magog,Hebdo régional,TC Media,,Hebdo régional,Estrie,Hebdomadaire,QC,Magog,,TC Media,819 843-2608,,J1X 5B6,,819 843-2000,"53, rue Centre, #300 "
857,Le Progrès de Coaticook,Hebdo régional,TC Media,redaction_coaticook@tc.tc,Hebdo régional,Estrie,Hebdomadaire,QC,Coaticook,,TC Media,819 849-1041,www.leprogres.net,J1A 3B3,Affaires régionales,819 849-9846,"20, rue du manège "
858,Le Progrès Villeray - St-Michel - Parc Extension,Hebdo régional,TC Media,redaction_est@tc.tc,Hebdo régional,Montréal,Hebdomadaire,QC,Montréal,,TC Media,514 899-5887,journalmetro.com/local/villeray-st-michel-parc-extension,H1E 2S7,Affaires régionales,514 643-2300,"8000, Blaise Pascal "
859,Le Québécois,Périodique,Indépendant,info@lequebecois.org,Périodique,Gaspésie-IdM,6 fois l'an,QC,Sainte-Anne-des-Monts,Média communautaire,Indépendant,,www.lequebecois.org,G4V 2R2,,418 763-7247,"4, 15e rue Ouest "
860,Le Quêteux,Périodique,Indépendant,,Périodique,Québec,5 fois l'an,QC,"Saint-Pierre, Ile d'Orléans",Média communautaire,Indépendant,418 828-2855,,G0A 4E0,Communautaire,418 828-9537,"2429, ch. Royal "
861,Le Quartier Libre,Pér,Indépendant,redac@quartierlibre.ca,Pér,Montréal,Bimensuel,QC,Montréal,Média étudiant,Indépendant,514 343-7744,http://www.quartierlibre.ca,H3T 1N8,Actualités - Arts et culture - Éducation - Société,514 343-7630,"3200, Jean-Brillant, (Local B-1274-6)  C.P. 6128, Succ. Centre-ville"
862,Le Quotidien,Quotidien,Capitales Médias,redaction@lequotidien.com,Quotidien,Saguenay-Lac-St-Jean,,QC,Saguenay,,Capitales Médias,418 690-8805,www.lequotidien.com,G7H 5C1,,418 690-8800 ou  418 545,"1051, boul. Talbot "
863,Le Régional de Hull,Hebdo régional,TC Media,duprass@transcontinental.ca,Hebdo régional,Outaouais,Hebdomadaire,QC,Gatineau,,TC Media,819 568-7038,www.info07.com,J8T 8J1,Affaires régionales,819 568-7736,"160, boul. de l’Hôpital, #30 "
864,Le Régional de Lanaudière,Hebdo régional,TC Media,,Hebdo régional,Lanaudière,Hebdomadaire,QC,Joliette,,TC Media,(514) 759-9828,,J6E 8V1,,(514) 759-3664,"262, boul. L'industrie, C.P. 590 "
865,Le Réveil,Hebdo régional,Indépendant,lereveil@quebectel.com,Hebdo régional,Québec,Hebdomadaire,QC,Saint-Raymond,,Indépendant,(418) 337-8132,,G3L 1E9,Affaires régionales,(418) 337-6757,"165, Saint-Ignace "
866,Le Réveil,Périodique,Indépendant,lereveil@ivic.qc.ca,Périodique,Québec,Mensuel,QC,Saint-Louis-de-Blandford,Média communautaire,Indépendant,819 364-7402,www.journallereveil.org,G0Z 1B0,Communautaire,819 364-7422,"185, rang 1 "
867,Le Réveil,Hebdo régional,Quebecor,redaction.reveil@hebdosquebecor.com,Hebdo régional,Saguenay-Lac-St-Jean,Hebdomadaire,QC,Saguenay,,Quebecor,418 695-1391,http://lereveil.canoe.ca,G7X 7W4,Affaires régionales,418 590-2940,"1, rue Mont Sainte-Claire "
